ファイル対象年月,地域名,施設名,市町名,当年(月),前年(月),対前年同月比,当年(累計),前年(累計),対前年同期比
2024-02,松江,八重垣神社,松江市,12570.0,12028.0,104.5,58421.0,71045.0,82.2
2024-02,松江,足立美術館,安来市,22703.0,19805.0,114.6,38997.0,32091.0,121.5
2024-02,安来,清水寺,安来市,7900.0,6600.0,119.7,40900.0,42400.0,96.5
2024-02,安来,玉峰山荘,奥出雲町,1925.0,3953.0,48.7,8512.0,9793.0,86.9
2024-02,雲南,道の駅たたらば壱番地,雲南市,14668.0,14842.0,98.8,30678.0,29813.0,102.9
2024-02,雲南,古代出雲歴史博物館,出雲市,9072.0,8927.0,101.6,21232.0,20123.0,105.5
2024-02,雲南,道の駅キララ多伎,出雲市,25336.0,23850.0,106.2,50379.0,47605.0,105.8
2024-02,出雲,島根ワイナリー,出雲市,24857.0,29097.0,85.4,60567.0,63069.0,96.0
2024-02,出雲,ゴビウス,出雲市,10254.0,9141.0,112.2,22790.0,19320.0,118.0
2024-02,出雲,三瓶自然館,大田市,2902.0,2269.0,127.9,5566.0,4533.0,122.8
2024-02,大田,龍源寺間歩,大田市,3715.0,3412.0,108.9,6129.0,5467.0,112.1
2024-02,邑智,仁摩サンドミュージアム,大田市,2688.0,1871.0,143.7,4127.0,3199.0,129.0
2024-02,邑智,香木の森公園,邑南町,1990.0,2224.0,89.5,3290.0,3422.0,96.1
2024-02,邑智,風の国,江津市,829.0,0.0,,1456.0,1078.0,135.1
2024-02,江津,アクアス,浜田市,18505.0,14442.0,128.1,34898.0,29184.0,119.6
2024-02,浜田,きんたの里,浜田市,6317.0,5713.0,110.6,14431.0,12607.0,114.5
2024-02,浜田,はまだお魚市場,浜田市,11790.0,9068.0,130.0,20084.0,16402.0,122.4
2024-02,浜田,万葉公園,益田市,19222.0,19604.0,98.1,35680.0,36500.0,97.8
2024-02,益田,太皷谷稲成神社,津和野町,31948.0,26263.0,121.6,265150.0,239904.0,110.5
2024-02,益田,森鷗外記念館,津和野町,388.0,335.0,115.8,755.0,697.0,108.3
2024-02,益田,隠岐神社,海士町,305.0,250.0,122.0,1805.0,1645.0,109.7
2024-02,隠岐,国賀海岸,西ノ島町,0.0,0.0,,0.0,0.0,
2024-02,隠岐,フィッシャーマンズワーフ隠岐,隠岐の島町,2939.0,3151.0,93.3,5042.0,5256.0,95.9
2024-02,隠岐,合,計,270626.0,254407.0,106.4,804676.0,763628.0,105.4
2024-03,,ぐるっと松江堀川めぐり,松江市,16300.0,21348.0,76.4,33809.0,38308.0,88.3
2024-03,,松江城,松江市,35389.0,37681.0,93.9,70824.0,68865.0,102.8
2024-03,松江,由志園,松江市,13873.0,17394.0,79.8,35138.0,37725.0,93.1
2024-03,松江,八重垣神社,松江市,13189.0,15979.0,82.5,71610.0,87024.0,82.3
2024-03,松江,足立美術館,安来市,41906.0,44497.0,94.2,80903.0,76588.0,105.6
2024-03,安来,清水寺,安来市,5900.0,7400.0,79.7,46800.0,49800.0,94.0
2024-03,安来,玉峰山荘,奥出雲町,7575.0,6142.0,123.3,16087.0,15935.0,101.0
2024-03,雲南,道の駅たたらば壱番地,雲南市,21160.0,24286.0,87.1,51838.0,54099.0,95.8
2024-03,雲南,古代出雲歴史博物館,出雲市,15929.0,14529.0,109.6,37161.0,34652.0,107.2
2024-03,雲南,道の駅キララ多伎,出雲市,34488.0,34150.0,101.0,84867.0,81755.0,103.8
2024-03,出雲,島根ワイナリー,出雲市,34165.0,43768.0,78.1,94732.0,106837.0,88.7
2024-03,出雲,ゴビウス,出雲市,13257.0,13422.0,98.8,36047.0,32742.0,110.1
2024-03,出雲,三瓶自然館,大田市,3817.0,4961.0,76.9,9383.0,9494.0,98.8
2024-03,大田,龍源寺間歩,大田市,6797.0,8543.0,79.6,12926.0,14010.0,92.3
2024-03,邑智,仁摩サンドミュージアム,大田市,2880.0,2978.0,96.7,7007.0,6177.0,113.4
2024-03,邑智,香木の森公園,邑南町,3370.0,8381.0,40.2,6660.0,11803.0,56.4
2024-03,邑智,風の国,江津市,1234.0,1241.0,99.4,2690.0,2319.0,116.0
2024-03,江津,アクアス,浜田市,23463.0,25028.0,93.7,58361.0,54212.0,107.7
2024-03,浜田,きんたの里,浜田市,8359.0,6920.0,120.8,22790.0,19527.0,116.7
