ファイル対象年月,交通種別,交通機関名,当年(月),前年(月),対前年同月比,当年(累計),前年(累計),対前年同期比
2024-07,,出雲縁結び ～ 大阪,14994.0,12562.0,119.4,98796.0,86964.0,113.6
2024-07,,出雲縁結び ～ 福岡,4000.0,3667.0,109.1,29598.0,26785.0,110.5
2024-07,,出雲縁結び ～ 名古屋,6550.0,7624.0,85.9,45199.0,49155.0,92.0
2024-07,航空機,出雲縁結び ～ 中部,2377.0,-,,10916.0,-,
2024-07,航空機,出雲縁結び ～ 静岡,2575.0,3210.0,80.2,10712.0,22811.0,47.0
2024-07,航空機,萩・石見 ～ 羽田,10455.0,8300.0,126.0,71419.0,68741.0,103.9
2024-07,フェリー,本土 ～ 隠岐,20791.0,20943.0,99.3,122487.0,116533.0,105.1
2024-07,高速船,本土 ～ 隠岐,12618.0,13100.0,96.3,45242.0,50481.0,89.6
2024-08,,出雲縁結び ～ 羽田,49252.0,48697.0,101.1,383831.0,359057.0,106.9
2024-08,,出雲縁結び ～ 大阪,14355.0,13153.0,109.1,113151.0,100117.0,113.0
2024-08,,出雲縁結び ～ 福岡,3397.0,3074.0,110.5,32995.0,29859.0,110.5
2024-08,,出雲縁結び ～ 札幌,5089.0,5403.0,94.2,5089.0,5403.0,94.2
2024-08,,出雲縁結び ～ 名古屋,6706.0,8254.0,81.2,51905.0,57409.0,90.4
2024-08,航空機,出雲縁結び ～ 中部,2649.0,-,,13565.0,-,
2024-08,航空機,出雲縁結び ～ 静岡,2952.0,3422.0,86.3,13664.0,26233.0,52.1
2024-08,航空機,萩・石見 ～ 羽田,12717.0,11775.0,108.0,84136.0,80516.0,104.5
2024-08,航空機,萩・石見 ～ 大阪,716.0,437.0,163.8,716.0,437.0,163.8
2024-08,フェリー,本土 ～ 隠岐,32807.0,33714.0,97.3,155294.0,150247.0,103.4
2024-08,高速船,本土 ～ 隠岐,14565.0,12609.0,115.5,59807.0,63090.0,94.8
2024-09,,出雲縁結び ～ 羽田,54006.0,45456.0,118.8,437837.0,404513.0,108.2
2024-09,,出雲縁結び ～ 大阪,14864.0,13632.0,109.0,128015.0,113749.0,112.5
2024-09,,出雲縁結び ～ 福岡,4383.0,3880.0,113.0,37378.0,33739.0,110.8
2024-09,,出雲縁結び ～ 名古屋,6907.0,8545.0,80.8,58812.0,65954.0,89.2
2024-09,航空機,出雲縁結び ～ 中部,3101.0,0.0,,16666.0,0.0,
2024-09,航空機,出雲縁結び ～ 静岡,2794.0,3731.0,74.9,16458.0,29964.0,54.9
2024-09,航空機,萩・石見 ～ 羽田,11926.0,11225.0,106.2,96062.0,91741.0,104.7
